duration,first-day,first-month,last-day,last-month,g-year
4,26,2,29,2,2016
4,25,2,28,2,2017
5,25,2,1,3,2018
4,26,2,1,3,2019
4,26,2,29,2,2020
4,25,2,28,2,2021
5,25,2,1,3,2022
4,26,2,1,3,2023
4,26,2,29,2,2024
4,25,2,28,2,2025
5,25,2,1,3,2026
4,26,2,1,3,2027
4,26,2,29,2,2028
4,25,2,28,2,2029
4,25,2,28,2,2030
5,25,2,1,3,2031
4,26,2,29,2,2032
4,25,2,28,2,2033
4,25,2,28,2,2034
5,25,2,1,3,2035
4,26,2,29,2,2036
4,25,2,28,2,2037
4,25,2,28,2,2038
5,25,2,1,3,2039
4,26,2,29,2,2040
4,25,2,28,2,2041
4,25,2,28,2,2042
5,25,2,1,3,2043
4,26,2,29,2,2044
4,25,2,28,2,2045
4,25,2,28,2,2046
5,25,2,1,3,2047
4,26,2,29,2,2048
4,25,2,28,2,2049
4,25,2,28,2,2050
5,25,2,1,3,2051
4,26,2,29,2,2052
4,25,2,28,2,2053
4,25,2,28,2,2054
5,25,2,1,3,2055
4,26,2,29,2,2056
4,25,2,28,2,2057
4,25,2,28,2,2058
4,25,2,28,2,2059
5,25,2,29,2,2060
4,25,2,28,2,2061
4,25,2,28,2,2062
4,25,2,28,2,2063
5,25,2,29,2,2064
