duration, s-day, s-month, e-day, e-month, g-year
4, 26, Feb, 29, Feb, 2016
4, 25, Feb, 28, Feb, 2017
5, 25, Feb, 1,  Mar, 2018
4, 26, Feb, 1,  Mar, 2019
4, 26, Feb, 29, Feb, 2020
4, 25, Feb, 28, Feb, 2021
5, 25, Feb, 1,  Mar, 2022
4, 26, Feb, 1,  Mar, 2023
4, 26, Feb, 29, Feb, 2024
4, 25, Feb, 28, Feb, 2025
5, 25, Feb, 1,  Mar, 2026
4, 26, Feb, 1,  Mar, 2027
4, 26, Feb, 29, Feb, 2028
4, 25, Feb, 28, Feb, 2029
4, 25, Feb, 28, Feb, 2030
5, 25, Feb, 1,  Mar, 2031
4, 26, Feb, 29, Feb, 2032
4, 25, Feb, 28, Feb, 2033
4, 25, Feb, 28, Feb, 2034
5, 25, Feb, 1,  Mar, 2035
4, 26, Feb, 29, Feb, 2036
4, 25, Feb, 28, Feb, 2037
4, 25, Feb, 28, Feb, 2038
5, 25, Feb, 1,  Mar, 2039
4, 26, Feb, 29, Feb, 2040
4, 25, Feb, 28, Feb, 2041
4, 25, Feb, 28, Feb, 2042
5, 25, Feb, 1,  Mar, 2043
4, 26, Feb, 29, Feb, 2044
4, 25, Feb, 28, Feb, 2045
4, 25, Feb, 28, Feb, 2046
5, 25, Feb, 1,  Mar, 2047
4, 26, Feb, 29, Feb, 2048
4, 25, Feb, 28, Feb, 2049
4, 25, Feb, 28, Feb, 2050
5, 25, Feb, 1,  Mar, 2051
4, 26, Feb, 29, Feb, 2052
4, 25, Feb, 28, Feb, 2053
4, 25, Feb, 28, Feb, 2054
5, 25, Feb, 1,  Mar, 2055
4, 26, Feb, 29, Feb, 2056
4, 25, Feb, 28, Feb, 2057
4, 25, Feb, 28, Feb, 2058
4, 25, Feb, 28, Feb, 2059
5, 25, Feb, 29, Feb, 2060
4, 25, Feb, 28, Feb, 2061
4, 25, Feb, 28, Feb, 2062
4, 25, Feb, 28, Feb, 2063
5, 25, Feb, 29, Feb, 2064
4, 25, Feb, 28, Feb, 2065
