b-bab-day,b-bab-month,b-bab-year,g-bab-day,g-bab-month,g-bab-year,b-baha-day,b-baha-month,b-baha-year,g-baha-day,g-baha-month,g-baha-year
10,13,172,13,11,2015,11,13,172,14,11,2015
18,12,173,1,11,2016,19,12,173,2,11,2016
7,12,174,21,10,2017,8,12,174,22,10,2017
6,13,175,9,11,2018,7,13,175,10,11,2018
14,12,176,29,10,2019,15,12,176,30,10,2019
4,12,177,18,10,2020,5,12,177,19,10,2020
4,13,178,6,11,2021,5,13,178,7,11,2021
11,12,179,26,10,2022,12,12,179,27,10,2022
1,12,180,16,10,2023,2,12,180,17,10,2023
19,12,181,2,11,2024,1,13,181,3,11,2024
8,12,182,22,10,2025,9,12,182,23,10,2025
7,13,183,10,11,2026,8,13,183,11,11,2026
15,12,184,30,10,2027,16,12,184,31,10,2027
5,12,185,19,10,2028,6,12,185,20,10,2028
5,13,186,7,11,2029,6,13,186,8,11,2029
14,12,187,28,10,2030,15,12,187,29,10,2030
2,12,188,17,10,2031,3,12,188,18,10,2031
2,13,189,4,11,2032,3,13,189,5,11,2032
10,12,190,24,10,2033,11,12,190,25,10,2033
10,13,191,12,11,2034,11,13,191,13,11,2034
17,12,192,1,11,2035,18,12,192,2,11,2035
6,12,193,20,10,2036,7,12,193,21,10,2036
6,13,194,8,11,2037,7,13,194,9,11,2037
15,12,195,29,10,2038,16,12,195,30,10,2038
4,12,196,19,10,2039,5,12,196,20,10,2039
4,13,197,6,11,2040,5,13,197,7,11,2040
12,12,198,26,10,2041,13,12,198,27,10,2041
1,12,199,15,10,2042,2,12,199,16,10,2042
19,12,200,3,11,2043,1,13,200,4,11,2043
8,12,201,22,10,2044,9,12,201,23,10,2044
8,13,202,10,11,2045,9,13,202,11,11,2045
16,12,203,30,10,2046,17,12,203,31,10,2046
5,12,204,20,10,2047,6,12,204,21,10,2047
5,13,205,7,11,2048,6,13,205,8,11,2048
14,12,206,28,10,2049,15,12,206,29,10,2049
3,12,207,17,10,2050,4,12,207,18,10,2050
2,13,208,5,11,2051,3,13,208,6,11,2051
10,12,209,24,10,2052,11,12,209,25,10,2052
9,13,210,11,11,2053,10,13,210,12,11,2053
18,12,211,1,11,2054,19,12,211,2,11,2054
6,12,212,21,10,2055,7,12,212,22,10,2055
6,13,213,8,11,2056,7,13,213,9,11,2056
15,12,214,29,10,2057,16,12,214,30,10,2057
4,12,215,18,10,2058,5,12,215,19,10,2058
4,13,216,6,11,2059,5,13,216,7,11,2059
11,12,217,25,10,2060,12,12,217,26,10,2060
19,11,218,14,10,2061,1,12,218,15,10,2061
19,12,219,2,11,2062,1,13,219,3,11,2062
9,12,220,23,10,2063,10,12,220,24,10,2063
8,13,221,10,11,2064,9,13,221,11,11,2064
